URL's successfully downloaded,Size of the downloaded file,Number of Outlinks,Content-Type,,,
https://cinema.usc.edu/archivedassets/047/10153.pdf,824369,0,application/pdf,,,
https://cinema.usc.edu/admissions/fall2016Page.cfm,33792,74,text/html,,,
https://cinema.usc.edu/admissions/faq.cfm,29754,73,text/html,,,
https://cinema.usc.edu/admissions/spring2016Page.cfm,27938,75,text/html,,,
https://cinema.usc.edu/admissions/copyright.cfm,23704,72,text/html,,,
https://cinema.usc.edu/admissions/gallery.cfm,39664,72,text/html,,,
https://cinema.usc.edu/admissions/mythreality.cfm,38773,80,text/html,,,
https://cinema.usc.edu/news/,552600,847,text/html,,,
https://cinema.usc.edu/development_new/namingOpportunities_newFull.cfm,29709,110,text/html,,,
https://cinema.usc.edu/development_new/500up.cfm,23133,80,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6453&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,18852,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6443&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,20689,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=40765&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,17787,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=41118&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,18246,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=12478&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,19589,75,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=33988&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,18851,70,text/html,,,
https://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startRow=151&title,56441,137,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6455&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,20320,71,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=12461&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,20933,71,text/html,,,
https://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startRow=91&title,56569,138,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=40770&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,20142,70,text/html,,,
https://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startRow=31&title,56330,138,text/html,,,
https://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startPage=1&startRow=31&title,56330,138,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=26578&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,23809,73,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=40910&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,18251,70,text/html,,,
https://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startRow=181&title,56279,132,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6444&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,18972,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=33659&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,20990,77,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=27064&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,19358,70,text/html,,,
https://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startRow=211&title,55348,134,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6746&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,20999,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=38000&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,18863,70,text/html,,,
